Candidato;Partido;Fase;Votos;Custo_total_R$;Marketing_total_R$;%_marketing;Pub_impressa;Adesivo_visual;Audiovisual;Jingle;Carro_som;Trafego_pago;Site_redes;Equipe_servicos;Mobilizacao;Estrutura_logistica;Pesquisas;Outros;Custo_por_voto
TOINHO ANDRADE;REPUBLICANOS;Fed.2022;63813;846088.0;92938.0;11.0;80408.0;12530.0;0;0;0;0;0;400100.0;103050.0;249798.0;0;202.0;13.26
VICENTINHO JUNIOR;PP;Fed.2022;55292;2609509.51;1059204.81;40.6;128199.4;640956.65;253000.0;35000.0;0;2048.76;0;241150.0;471852.0;835131.0;0;2171.7;47.2
ALEXANDRE GUIMARÃES;REPUBLICANOS;Fed.2022;54703;925776.76;554709.66;59.9;417413.0;125996.66;0;1300.0;10000.0;0;0;127256.67;192678.33;47415.7;0;3716.4;16.92
CARLOS GAGUIM;UNIÃO;Fed.2022;52203;2199647.38;404014.0;18.4;165014.0;200000.0;0;0;9000.0;30000.0;0;1027500.0;212300.0;202365.08;0;353468.3;42.14
RICARDO AYRES;REPUBLICANOS;Fed.2022;45880;774814.7;252005.99;32.5;193135.99;48870.0;0;0;0;10000.0;0;81000.0;210345.0;230130.81;0;1332.9;16.89
FILIPE MARTINS;PL;Fed.2022;36293;785492.57;376128.65;47.9;163770.3;155158.35;15000.0;2700.0;0;39500.0;0;73500.0;265300.0;68507.82;0;2056.1;21.64
ELI BORGES;PL;Fed.2022;35171;1999950.32;271280.0;13.6;126950.0;137930.0;0;0;6400.0;0;0;69600.0;581600.0;354332.48;21500.0;701637.84;56.86
LAZARO BOTELHO;PP;Fed.2022;13668;2659934.36;677021.0;25.5;350700.0;146321.0;180000.0;0;0;0;0;733412.0;92134.0;1129919.66;20000.0;7447.7;194.61
ROSILENE (Est.2022);PTB;Est.2022;4398;64862.7;19390.0;29.9;16390.0;0;0;0;0;3000.0;0;10700.0;22700.0;12050.0;0;22.7;14.75
ROSILENE (Ver.2024);REPUBLICANOS;Ver.2024;657;119756.5;12894.2;10.8;9240.0;1454.2;0;0;0;2200.0;0;5350.0;65000.0;36500.0;0;12.3;182.28
